ticker,datetime,datetime_int,open,close,high,low,volumn
AAPL,2021-11-17 08:37,1637156220000,151.03,151.0201,151.03,151.0201,5408
AAPL,2021-11-17 08:38,1637156280000,151.03,151.06,151.06,151.03,2488
AAPL,2021-11-17 08:39,1637156340000,151.08,151.08,151.08,151.08,479
AAPL,2021-11-17 08:40,1637156400000,151.06,151.08,151.08,151.06,1309
AAPL,2021-11-17 08:42,1637156520000,151.08,151.05,151.1,151.05,1899
AAPL,2021-11-17 08:43,1637156580000,151.06,151.06,151.06,151.06,761
AAPL,2021-11-17 08:44,1637156640000,151.07,151.02,151.07,151,8018
AAPL,2021-11-17 08:45,1637156700000,151.02,151.05,151.05,151.02,626
AAPL,2021-11-17 08:46,1637156760000,151.04,151.02,151.04,151.02,631
AAPL,2021-11-17 08:47,1637156820000,151,151,151,151,1043
AAPL,2021-11-17 08:48,1637156880000,151.04,151.049,151.049,151.04,806
AAPL,2021-11-17 08:50,1637157000000,151.02,151.02,151.02,151.02,360
AAPL,2021-11-17 08:51,1637157060000,151.03,151.03,151.03,151.03,698
AAPL,2021-11-17 08:52,1637157120000,151.05,151.05,151.06,151.0499,7327
AAPL,2021-11-17 08:54,1637157240000,151.05,151.05,151.05,151.05,415
AAPL,2021-11-17 08:55,1637157300000,151.06,151.06,151.06,151.06,690
AAPL,2021-11-17 08:56,1637157360000,151.05,151.07,151.07,151.05,2307
AAPL,2021-11-17 08:57,1637157420000,151.07,151.1,151.1,151.07,2573
AAPL,2021-11-17 08:58,1637157480000,151.07,151.07,151.09,151.07,1547
AAPL,2021-11-17 09:00,1637157600000,151.09,151.07,151.09,151.06,6215
AAPL,2021-11-17 09:01,1637157660000,151.051,151.14,151.17,151.051,23681
AAPL,2021-11-17 09:02,1637157720000,151.17,151.1698,151.17,151.15,2619
AAPL,2021-11-17 09:03,1637157780000,151.15,151.18,151.19,151.15,2037
AAPL,2021-11-17 09:04,1637157840000,151.19,151.13,151.19,151.13,6271
AAPL,2021-11-17 09:05,1637157900000,151.13,151.19,151.19,151.13,3280
AAPL,2021-11-17 09:06,1637157960000,151.17,151.15,151.17,151.15,7661
AAPL,2021-11-17 09:07,1637158020000,151.14,151.09,151.14,151.05,22389
AAPL,2021-11-17 09:08,1637158080000,151.05,151.05,151.05,151.05,827
AAPL,2021-11-17 09:09,1637158140000,151.05,151.05,151.05,151.05,882
AAPL,2021-11-17 09:10,1637158200000,151.06,151.07,151.09,151.04,2736
AAPL,2021-11-17 09:11,1637158260000,151.0976,151.08,151.1,151.08,2234
AAPL,2021-11-17 09:12,1637158320000,151.09,151.08,151.09,151.06,2686
AAPL,2021-11-17 09:13,1637158380000,151.065,151.065,151.065,151.065,440
AAPL,2021-11-17 09:14,1637158440000,151.07,151.07,151.07,151.07,377
AAPL,2021-11-17 09:15,1637158500000,151.07,151.07,151.07,151.07,1031
AAPL,2021-11-17 09:16,1637158560000,151.09,151.08,151.09,151.08,899
AAPL,2021-11-17 09:17,1637158620000,151.08,151.08,151.08,151.08,853
AAPL,2021-11-17 09:18,1637158680000,151.09,151.08,151.1,151.08,3372
AAPL,2021-11-17 09:19,1637158740000,151.09,151.1,151.11,151.09,2113
AAPL,2021-11-17 09:20,1637158800000,151.12,151.1799,151.18,151.12,3129
AAPL,2021-11-17 09:21,1637158860000,151.17,151.18,151.19,151.17,1792
AAPL,2021-11-17 09:22,1637158920000,151.18,151.18,151.18,151.17,3020
AAPL,2021-11-17 09:23,1637158980000,151.18,151.1801,151.1801,151.18,1664
AAPL,2021-11-17 09:24,1637159040000,151.19,151.22,151.22,151.19,3472
AAPL,2021-11-17 09:25,1637159100000,151.18,150.85,151.2,150.72,33172
AAPL,2021-11-17 09:26,1637159160000,150.81,150.92,150.93,150.81,5154
AAPL,2021-11-17 09:27,1637159220000,150.89,150.88,151,150.75,21724
AAPL,2021-11-17 09:28,1637159280000,150.92,150.95,150.98,150.89,5747
AAPL,2021-11-17 09:29,1637159340000,150.97,151,151,150.97,1555
AAPL,2021-11-17 09:30,1637159400000,150.995,151.62,151.69,150.99,1396956.0
AAPL,2021-11-17 09:31,1637159460000,151.62,151.6499,151.86,151.6,718422
AAPL,2021-11-17 09:32,1637159520000,151.65,151.59,151.88,151.54,396632
AAPL,2021-11-17 09:33,1637159580000,151.59,151.73,151.77,151.53,238032
AAPL,2021-11-17 09:34,1637159640000,151.73,151.925,151.95,151.69,423039
AAPL,2021-11-17 09:35,1637159700000,151.93,151.93,152,151.92,394757
AAPL,2021-11-17 09:36,1637159760000,151.9229,152.151,152.19,151.9,670597
AAPL,2021-11-17 09:37,1637159820000,152.15,152.13,152.32,152.05,438767
AAPL,2021-11-17 09:38,1637159880000,152.14,151.8899,152.2399,151.85,328704
AAPL,2021-11-17 09:39,1637159940000,151.871,151.92,151.955,151.81,233975
AAPL,2021-11-17 09:40,1637160000000,151.92,152.1155,152.17,151.87,244290
AAPL,2021-11-17 09:41,1637160060000,152.11,152.08,152.32,152.06,347087
AAPL,2021-11-17 09:42,1637160120000,152.07,152.435,152.45,152.07,517034
AAPL,2021-11-17 09:43,1637160180000,152.44,152.4358,152.47,152.33,290903
AAPL,2021-11-17 09:44,1637160240000,152.435,152.64,152.66,152.43,514356
AAPL,2021-11-17 09:45,1637160300000,152.64,152.57,152.78,152.56,518803
AAPL,2021-11-17 09:46,1637160360000,152.56,152.7,152.73,152.51,444450
AAPL,2021-11-17 09:47,1637160420000,152.68,152.41,152.68,152.41,453334
AAPL,2021-11-17 09:48,1637160480000,152.415,152.51,152.53,152.37,355534
AAPL,2021-11-17 09:49,1637160540000,152.51,152.22,152.53,152.21,324064
AAPL,2021-11-17 09:50,1637160600000,152.22,152.1538,152.26,152.12,308127
AAPL,2021-11-17 09:51,1637160660000,152.1595,151.7797,152.16,151.76,401778
AAPL,2021-11-17 09:52,1637160720000,151.7769,151.7943,151.9,151.76,250492
AAPL,2021-11-17 09:53,1637160780000,151.8,151.705,151.87,151.7,231952
AAPL,2021-11-17 09:54,1637160840000,151.705,151.855,151.92,151.63,269184
AAPL,2021-11-17 09:55,1637160900000,151.8596,151.87,151.93,151.73,232599
AAPL,2021-11-17 09:56,1637160960000,151.88,152.0801,152.11,151.87,266537
AAPL,2021-11-17 09:57,1637161020000,152.085,152.1786,152.22,152.005,276200
AAPL,2021-11-17 09:58,1637161080000,152.17,152.165,152.23,152.1501,228057
AAPL,2021-11-17 09:59,1637161140000,152.17,152.07,152.18,152.05,182456
AAPL,2021-11-17 10:00,1637161200000,152.08,152.22,152.29,152.0545,289119
AAPL,2021-11-17 10:01,1637161260000,152.22,152.43,152.44,152.21,343165
AAPL,2021-11-17 10:02,1637161320000,152.43,152.4103,152.45,152.3,390891
AAPL,2021-11-17 10:03,1637161380000,152.41,152.34,152.44,152.332,257640
AAPL,2021-11-17 10:04,1637161440000,152.341,152.34,152.47,152.27,272335
AAPL,2021-11-17 10:05,1637161500000,152.34,152.52,152.58,152.33,432212
AAPL,2021-11-17 10:06,1637161560000,152.515,152.45,152.539,152.4,233167
AAPL,2021-11-17 10:07,1637161620000,152.45,152.545,152.58,152.44,220450
AAPL,2021-11-17 10:08,1637161680000,152.55,152.46,152.58,152.45,166530
AAPL,2021-11-17 10:09,1637161740000,152.46,152.563,152.5775,152.455,166219
AAPL,2021-11-17 10:10,1637161800000,152.57,152.44,152.58,152.43,169668
AAPL,2021-11-17 10:11,1637161860000,152.435,152.5875,152.63,152.43,203073
AAPL,2021-11-17 10:12,1637161920000,152.58,152.63,152.705,152.57,322752
AAPL,2021-11-17 10:13,1637161980000,152.63,152.619,152.67,152.57,179070
AAPL,2021-11-17 10:14,1637162040000,152.61,152.52,152.62,152.5,149509
AAPL,2021-11-17 10:15,1637162100000,152.51,152.455,152.57,152.455,162438
AAPL,2021-11-17 10:16,1637162160000,152.452,152.305,152.51,152.3,205232
AAPL,2021-11-17 10:17,1637162220000,152.305,152.265,152.34,152.21,244652
AAPL,2021-11-17 10:18,1637162280000,152.26,152.37,152.39,152.255,199057
AAPL,2021-11-17 10:19,1637162340000,152.37,152.27,152.41,152.24,141155
AAPL,2021-11-17 10:20,1637162400000,152.26,152.54,152.65,152.22,601295
AAPL,2021-11-17 10:21,1637162460000,152.5399,152.49,152.62,152.48,202232
AAPL,2021-11-17 10:22,1637162520000,152.49,152.59,152.6,152.49,173765
AAPL,2021-11-17 10:23,1637162580000,152.59,152.56,152.6,152.5,126654
AAPL,2021-11-17 10:24,1637162640000,152.565,152.6,152.61,152.5028,137251
AAPL,2021-11-17 10:25,1637162700000,152.6099,152.6826,152.69,152.59,187246
AAPL,2021-11-17 10:26,1637162760000,152.6801,152.735,152.78,152.68,296964
AAPL,2021-11-17 10:27,1637162820000,152.73,152.44,152.74,152.44,343663
AAPL,2021-11-17 10:28,1637162880000,152.43,152.65,152.65,152.2,556433
AAPL,2021-11-17 10:29,1637162940000,152.65,152.51,152.68,152.48,122987
AAPL,2021-11-17 10:30,1637163000000,152.52,152.471,152.55,152.45,112104
AAPL,2021-11-17 10:31,1637163060000,152.48,152.4085,152.5271,152.35,174851
AAPL,2021-11-17 10:32,1637163120000,152.405,152.415,152.45,152.38,101540
AAPL,2021-11-17 10:33,1637163180000,152.42,152.4575,152.49,152.41,108381
AAPL,2021-11-17 10:34,1637163240000,152.45,152.3259,152.455,152.3,116780
AAPL,2021-11-17 10:35,1637163300000,152.33,152.27,152.36,152.255,111944
